2020-07-11 18:58:08 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-11 19:04:38 INFO  VersionUtil:72 - HAPI FHIR version 5.0.0 - Rev 813d82e5fa
2020-07-12 08:29:27 INFO  VersionUtil:72 - HAPI FHIR version 5.0.0 - Rev 813d82e5fa
2020-07-12 08:32:51 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:32:51 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:35:06 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:35:06 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:35:14 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 08:38:02 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:38:02 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:38:07 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 08:38:28 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:38:28 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:38:34 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 08:45:39 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:45:39 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:45:43 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 08:46:43 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 08:46:43 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 08:46:48 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:00:47 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:00:47 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:00:54 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:03:01 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:03:01 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:03:06 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:07:27 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:07:27 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:07:32 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:08:06 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:08:06 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:08:10 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:15:56 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:15:57 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:15:59 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:18:28 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:18:28 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:18:30 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 09:23:38 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 09:23:38 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [R4]
2020-07-12 09:23:40 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_191'
2020-07-12 18:45:00 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 18:45:00 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [DSTU3]
2020-07-12 18:45:04 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_181'
2020-07-12 18:46:37 INFO  VersionUtil:72 - HAPI FHIR version 5.0.2 - Rev ecf175a352
2020-07-12 18:46:37 INFO  FhirContext:180 - Creating new FHIR context for FHIR version [DSTU3]
2020-07-12 18:46:41 INFO  XmlUtil:75 - FHIR XML procesing will use StAX implementation 'Java Runtime Environment' version '1.8.0_181'
